SubCategory,MainCategory
Rent-to-own shop,Shopping & retail
Restaurant supply shop,Shopping & retail
Retail company,Shopping & retail
Seasonal shop,Shopping & retail
Shopping centre,Shopping & retail
Shopping service,Shopping & retail
Souvenir shop,Shopping & retail
Sporting goods shop,Shopping & retail
Archery shop,Shopping & retail
Bicycle shop,Shopping & retail
Fishing shop,Shopping & retail
Mountain biking shop,Shopping & retail
Outdoor equipment shop,Shopping & retail
Skate shop,Shopping & retail
Ski & snowboard shop,Shopping & retail
Surf shop,Shopping & retail
Superstore,Shopping & retail
Tobacco shop,Shopping & retail
Toy shop,Shopping & retail
Trophies and engraving shop,Shopping & retail
Video games shop,Shopping & retail
Vintage shop,Shopping & retail
Wholesale and supply shop,Shopping & retail
Sport & recreation,Sport & recreation
Sport & fitness instruction,Sport & recreation
Boating/Sailing instructor,Sport & recreation
Coach,Sport & recreation
Fitness trainer,Sport & recreation
Golf instructor,Sport & recreation
Horse riding school,Sport & recreation
Scuba diving instructor,Sport & recreation
Skiing & snowboarding school,Sport & recreation
Swimming instructor,Sport & recreation
Sports & recreation venue,Sport & recreation
ATV recreation park,Sport & recreation
Archery range,Sport & recreation
Badminton court,Sport & recreation
Baseball field,Sport & recreation
Basketball court,Sport & recreation
Batting cage,Sport & recreation
Bowling alley,Sport & recreation
Disc golf course,Sport & recreation
Driving range,Sport & recreation
Equestrian centre,Sport & recreation
Fencing club,Sport & recreation
Fitness venue,Sport & recreation
Boxing studio,Sport & recreation
Cycling studio,Sport & recreation
Dance studio,Sport & recreation
Fitness boot camp,Sport & recreation
Gym/Physical fitness centre,Sport & recreation
Martial arts school,Sport & recreation
Pilates studio,Sport & recreation
Tai chi studio,Sport & recreation
Yoga studio,Sport & recreation
Flyboarding centre,Sport & recreation
Football pitch,Sport & recreation
Go-kart track,Sport & recreation
Golf course & country club,Sport & recreation
Gymnastics centre,Sport & recreation
Hang-gliding centre,Sport & recreation
Hockey pitch/rink,Sport & recreation
Horse riding centre,Sport & recreation
Ice skating rink,Sport & recreation
Kiteboarding centre,Sport & recreation
Laser tag centre,Sport & recreation
Miniature golf course,Sport & recreation
Paddleboarding centre,Sport & recreation
Paintball centre,Sport & recreation
Public swimming pool,Sport & recreation
Racquetball court,Sport & recreation
Rafting/Kayaking centre,Sport & recreation
Recreation centre,Sport & recreation
Rock climbing gym,Sport & recreation
Rodeo,Sport & recreation
Roller-skating rink,Sport & recreation
Rugby field,Sport & recreation
Scuba diving centre,Sport & recreation
Shooting range,Sport & recreation
Shooting/Hunting range,Sport & recreation
Skatepark,Sport & recreation
Ski resort,Sport & recreation
Skydiving centre,Sport & recreation
Squash court,Sport & recreation
Tennis court,Sport & recreation
Volleyball court,Sport & recreation
Sports league,Sport & recreation
Amateur sports league,Sport & recreation
E-sports league,Sport & recreation
Professional sports league,Sport & recreation
School sports league,Sport & recreation
Sports team,Sport & recreation
Amateur sports team,Sport & recreation
E-sports team,Sport & recreation
Professional sports team,Sport & recreation
School sports team,Sport & recreation
"Stadium, arena & sports venue",Sport & recreation
Baseball stadium,Sport & recreation
Basketball arena,Sport & recreation
Cricket ground,Sport & recreation
Football stadium,Sport & recreation
Football stadium,Sport & recreation
Hockey arena,Sport & recreation
Rugby stadium,Sport & recreation
Tennis stadium,Sport & recreation
Track and field stadium,Sport & recreation
Travel & transport,Travel & transport
Airline company,Travel & transport
Airline industry service,Travel & transport
Boat/Ferry company,Travel & transport
Bus route,Travel & transport
Cruise line,Travel & transport
Railway company,Travel & transport
Rental shop,Travel & transport
ATV hire,Travel & transport
Bike hire,Travel & transport
Boat hire,Travel & transport
Canoe and kayak hire,Travel & transport
Car hire,Travel & transport
Exotic car hire,Travel & transport
Jet ski hire,Travel & transport
Motorhome hire,Travel & transport
Scooter hire,Travel & transport
Trailer hire,Travel & transport
Van hire,Travel & transport
Transport interchange,Travel & transport
Airport,Travel & transport
Airport gate,Travel & transport
Airport lounge,Travel & transport
Airport terminal,Travel & transport
Balloon Port,Travel & transport
Bus station,Travel & transport
Heliport,Travel & transport
Public transport stop,Travel & transport
Seaplane base,Travel & transport
Train station,Travel & transport
Light rail station,Travel & transport
Railway station,Travel & transport
Underground station,Travel & transport
Transport service,Travel & transport
Airport shuttle service,Travel & transport
Fishing charter,Travel & transport
Limo service,Travel & transport
Private bus service,Travel & transport
Private plane charter,Travel & transport
Ridesharing service,Travel & transport
School transport service,Travel & transport
Taxi service,Travel & transport
Travel company,Travel & transport
Tour agent,Travel & transport
Architectural tour agency,Travel & transport
Art tour agency,Travel & transport
Boat tour agency,Travel & transport
Bus tour agency,Travel & transport
Eco tour agency,Travel & transport
Food tour agency,Travel & transport
Historical tour agency,Travel & transport
Horse-drawn carriage service,Travel & transport
Hot air balloon tour agency,Travel & transport
Pedicab service,Travel & transport
Sightseeing tour agency,Travel & transport
Tour guide,Travel & transport
Travel agent,Travel & transport
Cruise agency,Travel & transport
Travel service,Travel & transport
Luggage service,Travel & transport
Tourist information centre,Travel & transport
"Vehicle, aircraft and boat","Vehicle, aircraft and boat"
Aviation repair station,"Vehicle, aircraft and boat"
Avionics shop,"Vehicle, aircraft and boat"
Motor vehicle company,"Vehicle, aircraft and boat"
Motorcycle manufacturer,"Vehicle, aircraft and boat"
Vehicle manufacturer,"Vehicle, aircraft and boat"
Vehicle dealership,"Vehicle, aircraft and boat"
ATV dealership,"Vehicle, aircraft and boat"
Aircraft dealership,"Vehicle, aircraft and boat"
Boat dealership,"Vehicle, aircraft and boat"
Car dealership,"Vehicle, aircraft and boat"
Can receive leads,"Vehicle, aircraft and boat"
Commercial Vehicle Dealership,"Vehicle, aircraft and boat"
Electric Vehicle Dealership,"Vehicle, aircraft and boat"
Performance Vehicle Dealership,"Vehicle, aircraft and boat"
Caravan dealership,"Vehicle, aircraft and boat"
Commercial van dealership,"Vehicle, aircraft and boat"
Golf buggy dealership,"Vehicle, aircraft and boat"
Motorbike dealership,"Vehicle, aircraft and boat"
Recreational vehicle dealership,"Vehicle, aircraft and boat"
Vehicle wholesaler,"Vehicle, aircraft and boat"
Vehicle service,"Vehicle, aircraft and boat"
Air quality monitoring site,"Vehicle, aircraft and boat"
Boat service,"Vehicle, aircraft and boat"
Car wash,"Vehicle, aircraft and boat"
Emergency roadside service,"Vehicle, aircraft and boat"
Marine service station,"Vehicle, aircraft and boat"
Motorcycle repair centre,"Vehicle, aircraft and boat"
Motorhome repair centre,"Vehicle, aircraft and boat"
Oil lube & filter service,"Vehicle, aircraft and boat"
Petrol station,"Vehicle, aircraft and boat"
Towing service,"Vehicle, aircraft and boat"
Tyre dealer & repair shop,"Vehicle, aircraft and boat"
Van repair shop,"Vehicle, aircraft and boat"
Vehicle body shop,"Vehicle, aircraft and boat"
Vehicle consultant,"Vehicle, aircraft and boat"
Vehicle customisation shop,"Vehicle, aircraft and boat"
Vehicle delivery service,"Vehicle, aircraft and boat"
Vehicle detailing service,"Vehicle, aircraft and boat"
Vehicle glass service,"Vehicle, aircraft and boat"
Vehicle leasing service,"Vehicle, aircraft and boat"
Vehicle repair shop,"Vehicle, aircraft and boat"
Vehicle restoration service,"Vehicle, aircraft and boat"
Vehicle storage facility,"Vehicle, aircraft and boat"
Vehicle wheel polishing service,"Vehicle, aircraft and boat"
Vehicle window tinting service,"Vehicle, aircraft and boat"
Wheel & rim repair service,"Vehicle, aircraft and boat"
Vehicle shop,"Vehicle, aircraft and boat"
Car stereo shop,"Vehicle, aircraft and boat"
Marine supply shop,"Vehicle, aircraft and boat"
Motorsport shop,"Vehicle, aircraft and boat"
Vehicle parts shop,"Vehicle, aircraft and boat"
Community organisation,Community organisation
Armed forces,Community organisation
Charity organisation,Community organisation
Community group,Community organisation
Country club/Clubhouse,Community organisation
Environmental conservation organisation,Community organisation
Private members club,Community organisation
Religious organisation,Community organisation
Social club,Community organisation
Sorority & fraternity,Community organisation
Sports club,Community organisation
Trade union,Community organisation
Youth organisation,Community organisation
Interest,Interest
Literary arts,Interest
Performance art,Interest
Performing arts,Interest
Science,Interest
Sports,Interest
Visual arts,Interest
Media,Media
Art,Media
Books & magazines,Media
Article,Media
Book,Media
Book genre,Media
Book series,Media
Magazine,Media
Newspaper,Media
Concert tour,Media
Media restoration service,Media
Art restoration service,Media
Music,Media
Album,Media
Choir,Media
Music award,Media
Music chart,Media
Music video,Media
Musical genre,Media
Playlist,Media
Podcast,Media
Record label,Media
Song,Media
Symphony,Media
Show,Media
TV & film,Media
Episode,Media
Film,Media
Film character,Media
Film genre,Media
One-off TV programme,Media
TV,Media
TV Programme,Media
TV channel,Media
TV genre,Media
TV network,Media
TV season,Media
TV/Film award,Media
Video,Media
Theatrical play,Media
Theatrical productions,Media
Non-business places,Non-business places
Campus building,Non-business places
Cash machine/ATM,Non-business places
City infrastructure,Non-business places
Bridge,Non-business places
Canal,Non-business places
Lighthouse,Non-business places
Main road,Non-business places
Marina,Non-business places
Pier,Non-business places
Promenade,Non-business places
Quay,Non-business places
Street,Non-business places
Transport system,Non-business places
Weather station,Non-business places
Landmark & historical place,Landmark & historical place
Monument,Landmark & historical place
Statue & fountain,Landmark & historical place
Locality,Locality
Borough,Locality
Cemetery,Locality
Pet cemetery,Locality
City,Locality
City district,Locality
Congressional district,Locality
Continental region,Locality
Country/region,Locality
County,Locality
Designated market area,Locality
Geo entity,Locality
Harbour,Locality
Large geographical area,Locality
Medium geo area,Locality
Neighbourhood,Locality
Port,Locality
Postal code,Locality
Province,Locality
Region,Locality
Shopping district,Locality
Small geo area,Locality
State,Locality
Sub-neighbourhood,Locality
Time zone,Locality
Town/City,Locality
Township,Locality
Urban area,Locality
Village,Locality
Meeting room,Meeting room
Outdoor recreation,Outdoor recreation
Fairground,Outdoor recreation
Geographical place,Outdoor recreation
Bay,Outdoor recreation
Beach,Outdoor recreation
Cape,Outdoor recreation
Cave,Outdoor recreation
Continent,Outdoor recreation
Desert,Outdoor recreation
Fjord/Loch,Outdoor recreation
Glacier,Outdoor recreation
Hot spring,Outdoor recreation
Island,Outdoor recreation
Lake,Outdoor recreation
Mountain,Outdoor recreation
Ocean,Outdoor recreation
Pond,Outdoor recreation
Reservoir,Outdoor recreation
River,Outdoor recreation
Volcano,Outdoor recreation
Waterfall,Outdoor recreation
Park,Outdoor recreation
Arboretum,Outdoor recreation
Dog park,Outdoor recreation
Field,Outdoor recreation
National forest,Outdoor recreation
National park,Outdoor recreation
Nature reserve,Outdoor recreation
Picnic ground,Outdoor recreation
Playground,Outdoor recreation
Public square,Outdoor recreation
State park,Outdoor recreation
Public garden,Outdoor recreation
Botanical garden,Outdoor recreation
Community garden,Outdoor recreation
Rose garden,Outdoor recreation
Sculpture garden,Outdoor recreation
Recreational spot,Outdoor recreation
Bike trail,Outdoor recreation
Diving spot,Outdoor recreation
Fishing spot,Outdoor recreation
Hiking trail,Outdoor recreation
Rock climbing spot,Outdoor recreation
Snorkelling spot,Outdoor recreation
Surfing spot,Outdoor recreation
Public toilet,Locality
Religious place of worship,Religious place of worship
Assemblies of God,Religious place of worship
Buddhist temple,Religious place of worship
Church,Religious place of worship
African Methodist Episcopal Church,Religious place of worship
Anglican Church,Religious place of worship
Apostolic Church,Religious place of worship
Baptist Church,Religious place of worship
Catholic Church,Religious place of worship
Charismatic Church,Religious place of worship
Christian Church,Religious place of worship
Christian Science Church,Religious place of worship
Church of Christ,Religious place of worship
Church of God,Religious place of worship
Church of Jesus Christ of Latter-day Saints,Religious place of worship
Congregational Church,Religious place of worship
Eastern Orthodox Church,Religious place of worship
Episcopal Church,Religious place of worship
Evangelical Church,Religious place of worship
Full Gospel Church,Religious place of worship
Holiness Church,Religious place of worship
Independent Church,Religious place of worship
Interdenominational Church,Religious place of worship
Lutheran Church,Religious place of worship
Mennonite Church,Religious place of worship
Methodist Church,Religious place of worship
Nazarene Church,Religious place of worship
Non-denominational Church,Religious place of worship
Pentecostal Church,Religious place of worship
Presbyterian Church,Religious place of worship
Seventh Day Adventist Church,Religious place of worship
Convent & monastery,Religious place of worship
Hindu temple,Religious place of worship
Kingdom Hall,Religious place of worship
Mission,Religious place of worship
Mosque,Religious place of worship
Religious centre,Religious place of worship
Sikh temple,Religious place of worship
Synagogue,Religious place of worship
Residence,Residence
Block of flats,Residence
Castle,Residence
Country house,Residence
Fort,Residence
Halls of residence,Residence
Home,Residence
Palace,Residence
Brand,Brand
App Page,Brand
Appliances,Brand
Baby goods/Children's goods,Brand
Bags/Luggage,Brand
Board game,Brand
Brand/company type,Brand
Building materials,Brand
Camera/Photo,Brand
Cars,Brand
Clothing (brand),Brand
Commercial equipment,Brand
Computers (brand),Brand
Electronics,Brand
Furniture,Brand
Games/Toys,Brand
Health/Beauty,Brand
Home decor,Brand
Household supplies,Brand
Jewellery/Watches,Brand
Kitchen/Cooking,Brand
Musical instrument,Brand
Office supplies,Brand
Patio/Garden,Brand
Pet supplies,Brand
Pharmaceuticals,Brand
Phone/Tablet,Brand
Product type,Brand
Product/Service,Brand
Software,Brand
Tools/Equipment,Brand
Video game,Brand
Vitamins/Supplements,Brand
Website,Brand
Arts & humanities website,Brand
Business & economy website,Brand
Computer and Internet website,Brand
E-commerce website,Brand
Education website,Brand
Entertainment website,Brand
Food website,Brand
Health & wellness website,Brand
Home & garden website,Brand
Local & travel website,Brand
News & media website,Brand
Personal blog,Brand
Recreation & sport website,Brand
Reference website,Brand
Regional website,Brand
Science website,Brand
Society & culture website,Brand
Teen & children's website,Brand
Wine/Spirits,Brand
Cause,Cause
Colour,Colour
Community,Community
Course,Education
Cuisine,Food & drink
Diseases,Medical & health
Editorial/opinion,Media
Election,Media
Event,Event
Festival,Event
School fundraiser,Event
Sports event,Event
Exchange programme,Education
Fan Page,Media
Harmonised page,Media
Just for fun,Media
Language,Education
Mood,Interest
Nationality,Interest
Not a business,Interest
Profile,Interest
Satire/parody,Interest
Sport season,Sport & recreation
Surgeries,Medical & health
Ticket sales,Media
Topic,Education
University (US NCES),Education
University status,Education
Work position,Education
Work project,Education
Work status,Education
Public figure,Public figure
Actor,Public figure
Artist,Public figure
Author,Public figure
Band,Public figure
Blogger,Public figure
Chef,Public figure
Comedian,Public figure
Dancer,Public figure
Designer,Public figure
Fashion designer,Public figure
Digital creator,Public figure
Editor,Public figure
Entrepreneur,Public figure
Fashion model,Public figure
Film director,Public figure
Fitness model,Public figure
Gamer,Public figure
Journalist,Public figure
Motivational speaker,Public figure
Musician,Public figure
Musician/Band,Public figure
News personality,Public figure
Orchestra,Public figure
Producer,Public figure
Scientist,Public figure
Spiritual leader,Public figure
Sports promoter,Public figure
Sportsperson,Public figure
Talent agent,Public figure
Video creator,Public figure
Gaming video creator,Public figure
Writer,Public figure
